Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	template	scores
0.0533334072353984	0.758792855983102	All Maybe Montana.wav	7750	Spectrogram 1	1	Large Training Set.wav-24	0.360351916043169
0.768001364542466	1.15346022387298	All Maybe Montana.wav	17756	Spectrogram 1	1	Large Training Set.wav-70	0.367095768557378
1.21600168496708	1.55250118220248	All Maybe Montana.wav	7753	Spectrogram 1	1	Large Training Set.wav-24	0.374176568015422
4.26667424745814	5.11517278552709	All Maybe Montana.wav	17759	Spectrogram 1	1	Large Training Set.wav-70	0.39759232900878
5.33334280932268	6.14546909339901	All Maybe Montana.wav	17765	Spectrogram 1	1	Large Training Set.wav-70	0.397651536277544
6.4426781136618	6.77480354489909	All Maybe Montana.wav	17773	Spectrogram 1	1	Large Training Set.wav-70	0.362109659583806
9.12001263725312	9.40317872725312	All Maybe Montana.wav	7759	Spectrogram 1	1	Large Training Set.wav-24	0.353789122003032
28.1387166619865	28.4495087219865	All Maybe Montana.wav	17806	Spectrogram 1	1	Large Training Set.wav-70	0.432431848688753
40.8960566681035	41.1792227581035	All Maybe Montana.wav	7794	Spectrogram 1	1	Large Training Set.wav-24	0.352525325121689
116.885541009116	117.196333069116	All Maybe Montana.wav	17847	Spectrogram 1	1	Large Training Set.wav-70	0.351288166323918
122.506884330142	122.817676390142	All Maybe Montana.wav	17855	Spectrogram 1	1	Large Training Set.wav-70	0.353926443182755
135.776241239737	136.087033299737	All Maybe Montana.wav	17962	Spectrogram 1	1	Large Training Set.wav-70	0.351822331552651
189.49359590737	189.77676199737	All Maybe Montana.wav	7834	Spectrogram 1	1	Large Training Set.wav-24	0.353861998101197
218.57096953211	218.85413562211	All Maybe Montana.wav	7874	Spectrogram 1	1	Large Training Set.wav-24	0.352850426073003
958.913328729569	959.196494819568	All Maybe Montana.wav	8142	Spectrogram 1	1	Large Training Set.wav-24	0.355159518655642
1450.37000972232	1450.65317581232	All Maybe Montana.wav	8173	Spectrogram 1	1	Large Training Set.wav-24	0.355944650510373
1451.37267777834	1451.65584386834	All Maybe Montana.wav	8174	Spectrogram 1	1	Large Training Set.wav-24	0.350449731163135
1457.5700196991	1457.8531857891	All Maybe Montana.wav	8175	Spectrogram 1	1	Large Training Set.wav-24	0.353582364549519
1468.47136813801	1468.75453422801	All Maybe Montana.wav	8181	Spectrogram 1	1	Large Training Set.wav-24	0.350188490476
1469.84737004469	1470.13053613469	All Maybe Montana.wav	8193	Spectrogram 1	1	Large Training Set.wav-24	0.371755909535528
1563.04216584782	1563.32533193782	All Maybe Montana.wav	8259	Spectrogram 1	1	Large Training Set.wav-24	0.35229330047362
1897.18662885904	1897.46979494904	All Maybe Montana.wav	8327	Spectrogram 1	1	Large Training Set.wav-24	0.353154096558024
2283.96049813015	2284.24366422015	All Maybe Montana.wav	8330	Spectrogram 1	1	Large Training Set.wav-24	0.351242920556767
2290.26450686537	2290.54767295537	All Maybe Montana.wav	8331	Spectrogram 1	1	Large Training Set.wav-24	0.355003557168623
2304.07785933934	2304.36102542934	All Maybe Montana.wav	8332	Spectrogram 1	1	Large Training Set.wav-24	0.351764678172489
2338.14723988131	2338.43040597131	All Maybe Montana.wav	8342	Spectrogram 1	1	Large Training Set.wav-24	0.350362558604332
2351.52325841595	2351.80642450595	All Maybe Montana.wav	8407	Spectrogram 1	1	Large Training Set.wav-24	0.358071001385694
2370.84061851661	2371.12378460661	All Maybe Montana.wav	8482	Spectrogram 1	1	Large Training Set.wav-24	0.350395795771108
2454.03006712239	2454.31323321239	All Maybe Montana.wav	8639	Spectrogram 1	1	Large Training Set.wav-24	0.350703871924082
2477.5287663503	2477.8119324403	All Maybe Montana.wav	8650	Spectrogram 1	1	Large Training Set.wav-24	0.354501194906377
