Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Low Freq (Hz)	High Freq (Hz)	template	scores
41	Spectrogram 1	1	0.554868593	0.925516903	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-28	0.364578224299008
1	Spectrogram 1	1	3.414211533	3.708888443	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-71	0.410498345870702
42	Spectrogram 1	1	4.588336440	4.958984750	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-28	0.619820114117175
2	Spectrogram 1	1	7.489926550	7.966146872	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-71	0.640379313013913
43	Spectrogram 1	1	8.664486487	9.035134797	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-28	0.636117899993564
3	Spectrogram 1	1	11.544302745	11.838979655	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-71	0.552952092165531
61	Spectrogram 1	1	17.436098030	17.749833371	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-51	0.34779832880631
44	Spectrogram 1	1	18.289322462	18.659970772	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-28	0.584271685960304
45	Spectrogram 1	1	22.322790310	22.693438620	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-28	0.777588587971442
62	Spectrogram 1	1	25.140420415	25.453148142	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-51	0.346499327078219
46	Spectrogram 1	1	26.334917058	26.705565368	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-28	0.712582487471198
47	Spectrogram 1	1	28.831825725	29.202474035	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-28	0.61864381932289
6	Spectrogram 1	1	31.645473144	31.940150054	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-71	0.607535511354632
48	Spectrogram 1	1	32.801270273	33.171918583	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-28	0.632699716968858
7	Spectrogram 1	1	35.571816407	36.051709917	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-71	0.441553860941478
49	Spectrogram 1	1	36.770714822	37.141363132	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-28	0.892370952258155
9	Spectrogram 1	1	39.562176136	40.021249982	Large Training Set.wav	900.000	17000.000	Large Training Set.wav-71	0.35887407603907
