Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	template	scores
3.15734231398006	3.54280125302689	Maybe Montana 3&4.wav	2274	Spectrogram 1	1	Large Training Set.wav-70	0.359302851927961
11.2213652510373	11.8521582212379	Maybe Montana 3&4.wav	2276	Spectrogram 1	1	Large Training Set.wav-70	0.433384556607745
12.3840352247664	13.2814956201343	Maybe Montana 3&4.wav	2281	Spectrogram 1	1	Large Training Set.wav-70	0.390867811636043
13.909372896723	14.6624765601641	Maybe Montana 3&4.wav	2291	Spectrogram 1	1	Large Training Set.wav-70	0.370470008924644
14.6666985425527	15.3125320874231	Maybe Montana 3&4.wav	497	Spectrogram 1	1	Large Training Set.wav-24	0.351685694443402
15.3387000030478	16.3001708730274	Maybe Montana 3&4.wav	502	Spectrogram 1	1	Large Training Set.wav-24	0.361489722572821
30.3147325512252	30.6725654701691	Maybe Montana 3&4.wav	513	Spectrogram 1	1	Large Training Set.wav-24	0.36018978677279
31.0080881984461	31.766881532727	Maybe Montana 3&4.wav	2296	Spectrogram 1	1	Large Training Set.wav-70	0.38959348719704
34.2720744852522	34.7365743026874	Maybe Montana 3&4.wav	517	Spectrogram 1	1	Large Training Set.wav-24	0.359572182745732
64.0214724744736	64.3046385644736	Maybe Montana 3&4.wav	523	Spectrogram 1	1	Large Training Set.wav-24	0.365834588794763
69.8988185813438	70.1819846713438	Maybe Montana 3&4.wav	524	Spectrogram 1	1	Large Training Set.wav-24	0.352595151604685
108.533642043065	108.844434103065	Maybe Montana 3&4.wav	2405	Spectrogram 1	1	Large Training Set.wav-70	0.352136674351142
201.184437244426	201.467603334426	Maybe Montana 3&4.wav	600	Spectrogram 1	1	Large Training Set.wav-24	0.351642112182838
227.232493856	227.515659946	Maybe Montana 3&4.wav	630	Spectrogram 1	1	Large Training Set.wav-24	0.353629808647339
553.793203587091	554.076369677091	Maybe Montana 3&4.wav	795	Spectrogram 1	1	Large Training Set.wav-24	0.353218157173189
1096.53571649048	1096.81888258048	Maybe Montana 3&4.wav	911	Spectrogram 1	1	Large Training Set.wav-24	0.372413944155911
1105.549069413	1105.832235503	Maybe Montana 3&4.wav	912	Spectrogram 1	1	Large Training Set.wav-24	0.356802413320777
1286.26499194565	1286.57578400565	Maybe Montana 3&4.wav	2517	Spectrogram 1	1	Large Training Set.wav-70	0.355038911498598
1541.02734919355	1541.31051528355	Maybe Montana 3&4.wav	1024	Spectrogram 1	1	Large Training Set.wav-24	0.35315883779411
2047.34311626216	2047.62628235216	Maybe Montana 3&4.wav	1088	Spectrogram 1	1	Large Training Set.wav-24	0.356877601690833
2345.96776527839	2346.25093136839	Maybe Montana 3&4.wav	1250	Spectrogram 1	1	Large Training Set.wav-24	0.353936351455017
2373.92515937295	2374.20832546295	Maybe Montana 3&4.wav	1371	Spectrogram 1	1	Large Training Set.wav-24	0.350505819713023
2429.1252793422	2429.4084454322	Maybe Montana 3&4.wav	1413	Spectrogram 1	1	Large Training Set.wav-24	0.354991012247692
2782.63004763219	2782.91321372219	Maybe Montana 3&4.wav	1565	Spectrogram 1	1	Large Training Set.wav-24	0.355662330455062
2831.54938730475	2831.86017936475	Maybe Montana 3&4.wav	2581	Spectrogram 1	1	Large Training Set.wav-70	0.354638105014866
3139.53748998405	3139.82065607405	Maybe Montana 3&4.wav	1603	Spectrogram 1	1	Large Training Set.wav-24	0.368841164459216
3167.6868844959	3167.9700505859	Maybe Montana 3&4.wav	1606	Spectrogram 1	1	Large Training Set.wav-24	0.354125144738833
3168.01755188123	3168.30071797123	Maybe Montana 3&4.wav	1607	Spectrogram 1	1	Large Training Set.wav-24	0.354433306212484
3292.71336569196	3293.02415775196	Maybe Montana 3&4.wav	2591	Spectrogram 1	1	Large Training Set.wav-70	0.363033315548792
3668.4584344496	3668.7692265096	Maybe Montana 3&4.wav	2757	Spectrogram 1	1	Large Training Set.wav-70	0.387812775238121
3684.80800838169	3685.09117447169	Maybe Montana 3&4.wav	1688	Spectrogram 1	1	Large Training Set.wav-24	0.354635728927107
3780.78942062705	3781.10021268704	Maybe Montana 3&4.wav	2839	Spectrogram 1	1	Large Training Set.wav-70	0.354300966064016
3792.34145348529	3792.65224554529	Maybe Montana 3&4.wav	2894	Spectrogram 1	1	Large Training Set.wav-70	0.35053865809016
3891.81645828374	3892.09962437374	Maybe Montana 3&4.wav	1835	Spectrogram 1	1	Large Training Set.wav-24	0.360207555950704
4038.85948800689	4039.17028006689	Maybe Montana 3&4.wav	3133	Spectrogram 1	1	Large Training Set.wav-70	0.358642962943025
4201.69446509079	4201.97763118079	Maybe Montana 3&4.wav	1874	Spectrogram 1	1	Large Training Set.wav-24	0.352277417264638
4204.74513838764	4205.02830447764	Maybe Montana 3&4.wav	1875	Spectrogram 1	1	Large Training Set.wav-24	0.351465140062557
4239.80654792173	4240.08971401173	Maybe Montana 3&4.wav	1932	Spectrogram 1	1	Large Training Set.wav-24	0.36535186248454
4240.777216698	4241.060382788	Maybe Montana 3&4.wav	1933	Spectrogram 1	1	Large Training Set.wav-24	0.352323212609975
4269.89727998613	4270.18044607613	Maybe Montana 3&4.wav	1944	Spectrogram 1	1	Large Training Set.wav-24	0.356127592842524
4718.9574224564	4719.2682145164	Maybe Montana 3&4.wav	3400	Spectrogram 1	1	Large Training Set.wav-70	0.353983016465344
4808.66066470763	4808.92311132763	Maybe Montana 3&4.wav	3958	Spectrogram 1	1	Large Training Set.wav-46	0.350051583887505
4947.80762068499	4948.07006730499	Maybe Montana 3&4.wav	3965	Spectrogram 1	1	Large Training Set.wav-46	0.350473893318821
5061.42966693061	5061.71283302061	Maybe Montana 3&4.wav	2106	Spectrogram 1	1	Large Training Set.wav-24	0.363253637215652
5236.16071334919	5236.44387943919	Maybe Montana 3&4.wav	2110	Spectrogram 1	1	Large Training Set.wav-24	0.351121525466501
6479.02208119003	6479.30524728003	Maybe Montana 3&4.wav	2193	Spectrogram 1	1	Large Training Set.wav-24	0.363516631637535
6488.78210240199	6489.06526849199	Maybe Montana 3&4.wav	2232	Spectrogram 1	1	Large Training Set.wav-24	0.351404840644341
6491.23544106729	6491.51860715729	Maybe Montana 3&4.wav	2243	Spectrogram 1	1	Large Training Set.wav-24	0.368339054470714
