Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File	label
1	Spectrogram 1	1	4.757346323	5.068138383	0	24000	0.3108	24000	-49.85	All Maybe Montana.wav	1
2	Spectrogram 1	1	5.39734807	6.134807962	0	24000	0.7375	24000	-46.87	All Maybe Montana.wav	1
3	Spectrogram 1	1	9.130696735	9.413862825	0	24000	0.2832	24000	-48.85	All Maybe Montana.wav	1
4	Spectrogram 1	1	19.73338721	20.2361798	0	24000	0.5028	24000	-55.78	All Maybe Montana.wav	1
5	Spectrogram 1	1	22.2933942	22.75352001	0	24000	0.4601	24000	-57.13	All Maybe Montana.wav	1
6	Spectrogram 1	1	36.22409891	36.74822488	0	24000	0.5241	24000	-51.17	All Maybe Montana.wav	1
7	Spectrogram 1	1	37.31210188	37.66556072	0	24000	0.3535	24000	-52.7	All Maybe Montana.wav	1
8	Spectrogram 1	1	37.73876971	38.11356195	0	24000	0.3748	24000	-50.59	All Maybe Montana.wav	1
9	Spectrogram 1	1	39.29612725	39.55857387	0	24000	0.2624	24000	-58.53	All Maybe Montana.wav	1
10	Spectrogram 1	1	40.66144436	41.22823712	0	24000	0.5668	24000	-71.35	All Maybe Montana.wav	1
11	Spectrogram 1	1	56.10681986	56.58827906	0	24000	0.4815	24000	-67.48	All Maybe Montana.wav	1
12	Spectrogram 1	1	59.34952877	59.63269486	0	24000	0.2832	24000	-77.06	All Maybe Montana.wav	1
13	Spectrogram 1	1	126.4856787	127.1164716	0	24000	0.6308	24000	-87.55	All Maybe Montana.wav	1
14	Spectrogram 1	1	128.4270173	128.7378094	0	24000	0.3108	24000	-89.57	All Maybe Montana.wav	1
15	Spectrogram 1	1	132.6296955	132.9404875	0	24000	0.3108	24000	-90.75	All Maybe Montana.wav	1
16	Spectrogram 1	1	135.2323692	135.5431613	0	24000	0.3108	24000	-92.19	All Maybe Montana.wav	1
17	Spectrogram 1	1	197.0992048	197.7086644	0	24000	0.6095	24000	-68.92	All Maybe Montana.wav	1
18	Spectrogram 1	1	201.0885491	202.5031015	0	24000	1.4146	24000	-44.19	All Maybe Montana.wav	1
19	Spectrogram 1	1	206.5926803	206.8758464	0	24000	0.2832	24000	-91.48	All Maybe Montana.wav	1
20	Spectrogram 1	1	320.8757057	321.3143352	0	24000	0.4386	24000	-87.4	All Maybe Montana.wav	1
21	Spectrogram 1	1	572.4392184	572.7223845	0	24000	0.2832	24000	-86.88	All Maybe Montana.wav	1
22	Spectrogram 1	1	638.1674349	638.4506009	0	24000	0.2832	24000	-83.98	All Maybe Montana.wav	1
