Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File
1	Spectrogram 1	1	0.106667018	0.389833108	0	24000	0.2832	24000	-51.72	LARGE DEMO SET.wav
2	Spectrogram 1	1	4.58667919	5.153471949	0	24000	0.5668	24000	-47.49	LARGE DEMO SET.wav
3	Spectrogram 1	1	5.39734807	6.134807962	0	24000	0.7375	24000	-46.87	LARGE DEMO SET.wav
4	Spectrogram 1	1	9.130696735	9.413862825	0	24000	0.2832	24000	-48.85	LARGE DEMO SET.wav
5	Spectrogram 1	1	10.32536153	10.63615359	0	24000	0.3108	24000	-48.99	LARGE DEMO SET.wav
6	Spectrogram 1	1	19.73338721	20.2361798	0	24000	0.5028	24000	-55.78	LARGE DEMO SET.wav
7	Spectrogram 1	1	22.2933942	22.75352001	0	24000	0.4601	24000	-57.13	LARGE DEMO SET.wav
8	Spectrogram 1	1	23.61606448	23.92685654	0	24000	0.3108	24000	-55.43	LARGE DEMO SET.wav
9	Spectrogram 1	1	28.11741011	28.42820217	0	24000	0.3108	24000	-47.19	LARGE DEMO SET.wav
10	Spectrogram 1	1	36.22409891	36.74822488	0	24000	0.5241	24000	-51.17	LARGE DEMO SET.wav
11	Spectrogram 1	1	37.31210188	37.66556072	0	24000	0.3535	24000	-52.7	LARGE DEMO SET.wav
12	Spectrogram 1	1	37.73876971	38.17756212	0	24000	0.4388	24000	-50.74	LARGE DEMO SET.wav
13	Spectrogram 1	1	39.29612725	39.55857387	0	24000	0.2624	24000	-58.53	LARGE DEMO SET.wav
14	Spectrogram 1	1	40.66144436	41.22823712	0	24000	0.5668	24000	-71.35	LARGE DEMO SET.wav
15	Spectrogram 1	1	56.10681986	56.58827906	0	24000	0.4815	24000	-67.48	LARGE DEMO SET.wav
16	Spectrogram 1	1	59.28552856	59.71802848	0	24000	0.4325	24000	-77.82	LARGE DEMO SET.wav
17	Spectrogram 1	1	96.23498357	96.56081647	0	24000	0.3258	24000	-81.33	LARGE DEMO SET.wav
18	Spectrogram 1	1	118.9337185	119.2601653	0	24000	0.3264	24000	-85.55	LARGE DEMO SET.wav
19	Spectrogram 1	1	121.3229979	121.6764568	0	24000	0.3535	24000	-94.1	LARGE DEMO SET.wav
20	Spectrogram 1	1	125.0776749	125.559134	0	24000	0.4815	24000	-90.34	LARGE DEMO SET.wav
21	Spectrogram 1	1	126.4216785	127.1804718	0	24000	0.7588	24000	-88.25	LARGE DEMO SET.wav
22	Spectrogram 1	1	128.19235	128.9298099	0	24000	0.7375	24000	-90.13	LARGE DEMO SET.wav
23	Spectrogram 1	1	130.0910219	130.4018139	0	24000	0.3108	24000	-95.06	LARGE DEMO SET.wav
24	Spectrogram 1	1	132.5656953	133.2178216	0	24000	0.6521	24000	-92.05	LARGE DEMO SET.wav
25	Spectrogram 1	1	135.1683691	135.5858281	0	24000	0.4175	24000	-92.66	LARGE DEMO SET.wav
26	Spectrogram 1	1	135.8083708	136.1191629	0	24000	0.3108	24000	-92.07	LARGE DEMO SET.wav
27	Spectrogram 1	1	197.0992048	197.7086644	0	24000	0.6095	24000	-68.92	LARGE DEMO SET.wav
28	Spectrogram 1	1	197.8672069	198.177999	0	24000	0.3108	24000	-46.17	LARGE DEMO SET.wav
29	Spectrogram 1	1	201.0885491	202.5121437	0	24000	1.4236	24000	-44.21	LARGE DEMO SET.wav
30	Spectrogram 1	1	202.8379902	203.1211674	0	24000	0.2832	24000	-55.99	LARGE DEMO SET.wav
31	Spectrogram 1	1	206.4220018	206.8758464	0	24000	0.4538	24000	-91.91	LARGE DEMO SET.wav
32	Spectrogram 1	1	320.832876	321.3996688	0	24000	0.5668	24000	-87.66	LARGE DEMO SET.wav
33	Spectrogram 1	1	551.7458169	552.028983	0	24000	0.2832	24000	-88.96	LARGE DEMO SET.wav
