Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	template	scores
0.61886258212305	1.12171544347158	Large Training Set.wav	124	Spectrogram 1	1	Large Training Set.wav-70	0.407440258800968
3.41463398968889	3.69782421130617	Large Training Set.wav	223	Spectrogram 1	1	Large Training Set.wav-46	0.389771423003831
4.60945923236478	4.92025129236478	Large Training Set.wav	127	Spectrogram 1	1	Large Training Set.wav-70	0.407270756071046
8.68541623876142	8.99620829876142	Large Training Set.wav	132	Spectrogram 1	1	Large Training Set.wav-70	0.425515332352382
12.7613732451581	13.0721653051581	Large Training Set.wav	134	Spectrogram 1	1	Large Training Set.wav-70	0.409784993538001
14.3415641094859	14.6247301994859	Large Training Set.wav	62	Spectrogram 1	1	Large Training Set.wav-24	0.350077548554699
15.6203163842521	15.8919716642521	Large Training Set.wav	5	Spectrogram 1	1	Large Training Set.wav-27	0.379513408094092
18.3311364842655	18.6419285442655	Large Training Set.wav	136	Spectrogram 1	1	Large Training Set.wav-70	0.427633713536236
21.1685161928663	21.4401714728663	Large Training Set.wav	7	Spectrogram 1	1	Large Training Set.wav-27	0.379269288021702
22.343073223546	22.653865283546	Large Training Set.wav	137	Spectrogram 1	1	Large Training Set.wav-70	0.411927827399346
23.9452900756596	24.2284561656596	Large Training Set.wav	66	Spectrogram 1	1	Large Training Set.wav-24	0.355409154044976
26.3550099628264	26.6658020228264	Large Training Set.wav	139	Spectrogram 1	1	Large Training Set.wav-70	0.436118752650698
27.5927351270725	27.9035271870725	Large Training Set.wav	140	Spectrogram 1	1	Large Training Set.wav-70	0.575095914140302
28.8518003803573	29.1625924403573	Large Training Set.wav	141	Spectrogram 1	1	Large Training Set.wav-70	0.4367292024414
32.8210569415604	33.1318490015604	Large Training Set.wav	144	Spectrogram 1	1	Large Training Set.wav-70	0.413599433735771
34.4026805721597	34.6858466621597	Large Training Set.wav	69	Spectrogram 1	1	Large Training Set.wav-24	0.377404353426292
40.7382299749276	41.0490220349276	Large Training Set.wav	150	Spectrogram 1	1	Large Training Set.wav-70	0.41693848511025
44.7715068032468	45.0822988632468	Large Training Set.wav	152	Spectrogram 1	1	Large Training Set.wav-70	0.371976070667237
48.7621034534886	49.0728955134886	Large Training Set.wav	158	Spectrogram 1	1	Large Training Set.wav-70	0.429450556661044
54.2499975111822	54.5124441311822	Large Training Set.wav	255	Spectrogram 1	1	Large Training Set.wav-46	0.478525751936158
60.4137920686329	60.7245841286329	Large Training Set.wav	180	Spectrogram 1	1	Large Training Set.wav-70	0.430785858919076
62.8252221300089	63.1360141900089	Large Training Set.wav	188	Spectrogram 1	1	Large Training Set.wav-70	0.414726410002933
67.7334426089159	68.0442346689158	Large Training Set.wav	196	Spectrogram 1	1	Large Training Set.wav-70	0.400188956359226
72.1341430321778	72.3965896521778	Large Training Set.wav	268	Spectrogram 1	1	Large Training Set.wav-46	0.40454007548324
79.7479127377185	80.0587047977185	Large Training Set.wav	212	Spectrogram 1	1	Large Training Set.wav-70	0.821424597076329
86.3633403397235	86.6741323997235	Large Training Set.wav	222	Spectrogram 1	1	Large Training Set.wav-70	0.35308201022077
7.46903116355405	8.00939748410667	Large Training Set.wav	128	Spectrogram 1	1	Large Training Set.wav-70	0.450004536107142
11.523648080912	12.0642753468622	Large Training Set.wav	133	Spectrogram 1	1	Large Training Set.wav-70	0.365390203123556
17.4341509370683	17.761947348436	Large Training Set.wav	6	Spectrogram 1	1	Large Training Set.wav-27	0.392531201782792
