Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	template	scores
11.434699191171	11.8521582212379	Maybe Montana 3&4.wav	175	Spectrogram 1	1	Large Training Set.wav-70	0.362559396310758
12.4160353157865	12.7268273757865	Maybe Montana 3&4.wav	177	Spectrogram 1	1	Large Training Set.wav-70	0.371289574443814
12.9067033780942	13.2174954380942	Maybe Montana 3&4.wav	178	Spectrogram 1	1	Large Training Set.wav-70	0.394161966859164
107.754973161576	108.065765221576	Maybe Montana 3&4.wav	196	Spectrogram 1	1	Large Training Set.wav-70	0.354267343520269
181.696692208089	181.979858298089	Maybe Montana 3&4.wav	70	Spectrogram 1	1	Large Training Set.wav-24	0.378468161990097
606.124975814985	606.408141904985	Maybe Montana 3&4.wav	74	Spectrogram 1	1	Large Training Set.wav-24	0.357666296330515
613.207669464519	613.490835554519	Maybe Montana 3&4.wav	75	Spectrogram 1	1	Large Training Set.wav-24	0.353806008277
1070.2750442572	1070.5858363172	Maybe Montana 3&4.wav	220	Spectrogram 1	1	Large Training Set.wav-70	0.412501810166472
1075.0537245162	1075.3645165762	Maybe Montana 3&4.wav	221	Spectrogram 1	1	Large Training Set.wav-70	0.406808582532574
1080.28040604948	1080.59119810948	Maybe Montana 3&4.wav	222	Spectrogram 1	1	Large Training Set.wav-70	0.42589448845214
1110.95782664071	1111.26861870071	Maybe Montana 3&4.wav	223	Spectrogram 1	1	Large Training Set.wav-70	0.412535180268493
1245.8275435933	1246.1383356533	Maybe Montana 3&4.wav	224	Spectrogram 1	1	Large Training Set.wav-70	0.351957524733883
1885.04002841616	1885.35082047616	Maybe Montana 3&4.wav	225	Spectrogram 1	1	Large Training Set.wav-70	0.425969182495406
1890.45871049556	1890.76950255556	Maybe Montana 3&4.wav	226	Spectrogram 1	1	Large Training Set.wav-70	0.417104629940745
1895.68539202884	1895.99618408884	Maybe Montana 3&4.wav	227	Spectrogram 1	1	Large Training Set.wav-70	0.44024753275251
1905.92542115526	1906.23621321526	Maybe Montana 3&4.wav	228	Spectrogram 1	1	Large Training Set.wav-70	0.427975848460643
2625.84213553074	2626.15292759074	Maybe Montana 3&4.wav	233	Spectrogram 1	1	Large Training Set.wav-70	0.410528364467075
2784.21974495813	2784.49140023813	Maybe Montana 3&4.wav	9	Spectrogram 1	1	Large Training Set.wav-27	0.35613559501299
2824.96803525162	2825.27882731162	Maybe Montana 3&4.wav	234	Spectrogram 1	1	Large Training Set.wav-70	0.376798043534939
3081.88609935474	3082.19689141474	Maybe Montana 3&4.wav	235	Spectrogram 1	1	Large Training Set.wav-70	0.41990925791069
3373.02292745532	3373.33371951532	Maybe Montana 3&4.wav	239	Spectrogram 1	1	Large Training Set.wav-70	0.431835976967124
3379.25227850723	3379.56307056723	Maybe Montana 3&4.wav	240	Spectrogram 1	1	Large Training Set.wav-70	0.404010011629412
3620.17029710032	3620.48108916032	Maybe Montana 3&4.wav	243	Spectrogram 1	1	Large Training Set.wav-70	0.407152414454181
3654.9259241351	3655.2090902251	Maybe Montana 3&4.wav	91	Spectrogram 1	1	Large Training Set.wav-24	0.35086383911876
3785.95575665149	3786.23892274149	Maybe Montana 3&4.wav	114	Spectrogram 1	1	Large Training Set.wav-24	0.356418000253424
3947.61656181167	3947.92735387167	Maybe Montana 3&4.wav	322	Spectrogram 1	1	Large Training Set.wav-70	0.351615665174541
3948.149896662	3948.460688722	Maybe Montana 3&4.wav	323	Spectrogram 1	1	Large Training Set.wav-70	0.350380130458301
3956.40592014518	3956.71671220518	Maybe Montana 3&4.wav	334	Spectrogram 1	1	Large Training Set.wav-70	0.363023059336002
4020.44876897334	4020.75956103334	Maybe Montana 3&4.wav	344	Spectrogram 1	1	Large Training Set.wav-70	0.35047008313037
4022.98744286093	4023.29823492093	Maybe Montana 3&4.wav	351	Spectrogram 1	1	Large Training Set.wav-70	0.377212133493393
4024.0541125616	4024.3649046216	Maybe Montana 3&4.wav	355	Spectrogram 1	1	Large Training Set.wav-70	0.362777085450387
4026.72078681328	4027.03157887328	Maybe Montana 3&4.wav	361	Spectrogram 1	1	Large Training Set.wav-70	0.357269177035996
4034.74214296231	4035.05293502231	Maybe Montana 3&4.wav	407	Spectrogram 1	1	Large Training Set.wav-70	0.355023343673815
4038.85948800689	4039.17028006689	Maybe Montana 3&4.wav	426	Spectrogram 1	1	Large Training Set.wav-70	0.350325759686907
4053.23819557191	4053.5489876319	Maybe Montana 3&4.wav	444	Spectrogram 1	1	Large Training Set.wav-70	0.363656738401339
4226.38002138449	4226.69081344449	Maybe Montana 3&4.wav	459	Spectrogram 1	1	Large Training Set.wav-70	0.355294106229751
4249.93208837526	4250.24288043526	Maybe Montana 3&4.wav	460	Spectrogram 1	1	Large Training Set.wav-70	0.375892339783474
4269.75493310975	4270.03809919975	Maybe Montana 3&4.wav	126	Spectrogram 1	1	Large Training Set.wav-24	0.369619901820312
4517.79811924609	4518.06056586609	Maybe Montana 3&4.wav	549	Spectrogram 1	1	Large Training Set.wav-46	0.356213254957902
4629.15450035708	4629.46529241708	Maybe Montana 3&4.wav	469	Spectrogram 1	1	Large Training Set.wav-70	0.358287865979909
4719.97075867203	4720.28155073203	Maybe Montana 3&4.wav	486	Spectrogram 1	1	Large Training Set.wav-70	0.361435586055795
4790.90891854493	4791.19208463493	Maybe Montana 3&4.wav	142	Spectrogram 1	1	Large Training Set.wav-24	0.355650124603436
4801.89562706755	4802.17879315755	Maybe Montana 3&4.wav	145	Spectrogram 1	1	Large Training Set.wav-24	0.360060614591041
5290.36171440774	5290.67250646774	Maybe Montana 3&4.wav	490	Spectrogram 1	1	Large Training Set.wav-70	0.351797432744233
5590.65056854006	5590.96136060006	Maybe Montana 3&4.wav	496	Spectrogram 1	1	Large Training Set.wav-70	0.3510342285652
5596.13865288734	5596.42181897734	Maybe Montana 3&4.wav	155	Spectrogram 1	1	Large Training Set.wav-24	0.355345094107533
5597.45592123033	5597.76671329033	Maybe Montana 3&4.wav	497	Spectrogram 1	1	Large Training Set.wav-70	0.353159683838377
5600.18659566404	5600.49738772404	Maybe Montana 3&4.wav	500	Spectrogram 1	1	Large Training Set.wav-70	0.372099624757086
5605.35468799758	5605.63785408758	Maybe Montana 3&4.wav	156	Spectrogram 1	1	Large Training Set.wav-24	0.36108284927769
6000.46506753707	6000.77585959707	Maybe Montana 3&4.wav	501	Spectrogram 1	1	Large Training Set.wav-70	0.35505481500505
6470.72270868537	6470.98515530537	Maybe Montana 3&4.wav	558	Spectrogram 1	1	Large Training Set.wav-46	0.363823526634703
6492.12073296807	6492.40389905807	Maybe Montana 3&4.wav	172	Spectrogram 1	1	Large Training Set.wav-24	0.358074030055496
6511.95452240184	6512.26531446184	Maybe Montana 3&4.wav	527	Spectrogram 1	1	Large Training Set.wav-70	0.358703812518274
31.146755259533	31.6708812596668	Maybe Montana 3&4.wav	179	Spectrogram 1	1	Large Training Set.wav-70	0.369646788513947
34.4534645903562	34.7792975095703	Maybe Montana 3&4.wav	63	Spectrogram 1	1	Large Training Set.wav-24	0.354358967578481
100.181618286827	100.620410710907	Maybe Montana 3&4.wav	183	Spectrogram 1	1	Large Training Set.wav-70	0.355587417188298
101.52562210967	102.305748837964	Maybe Montana 3&4.wav	186	Spectrogram 1	1	Large Training Set.wav-70	0.358871874549015
103.509627752914	104.033753753048	Maybe Montana 3&4.wav	192	Spectrogram 1	1	Large Training Set.wav-70	0.350554070090886
110.272313655155	110.689772685222	Maybe Montana 3&4.wav	197	Spectrogram 1	1	Large Training Set.wav-70	0.353808327679785
172.160489687967	172.812616052181	Maybe Montana 3&4.wav	200	Spectrogram 1	1	Large Training Set.wav-70	0.359742808281191
176.192501156496	177.509396764271	Maybe Montana 3&4.wav	206	Spectrogram 1	1	Large Training Set.wav-70	0.376916622931656
295.915508359577	296.454961079421	Maybe Montana 3&4.wav	218	Spectrogram 1	1	Large Training Set.wav-70	0.352458136652528
547.372751987219	547.805251979469	Maybe Montana 3&4.wav	72	Spectrogram 1	1	Large Training Set.wav-24	0.352120796935344
1266.0528232689	1266.39998960272	Maybe Montana 3&4.wav	76	Spectrogram 1	1	Large Training Set.wav-24	0.377117161029761
1437.21080866112	1437.53712015815	Maybe Montana 3&4.wav	78	Spectrogram 1	1	Large Training Set.wav-24	0.387442837080546
1444.20816865223	1444.61933522987	Maybe Montana 3&4.wav	79	Spectrogram 1	1	Large Training Set.wav-24	0.360595544228234
1592.9872520894	1593.27056821166	Maybe Montana 3&4.wav	536	Spectrogram 1	1	Large Training Set.wav-46	0.406767771926283
2019.46174409446	2019.85786973052	Maybe Montana 3&4.wav	229	Spectrogram 1	1	Large Training Set.wav-70	0.413080895323266
2025.4137610242	2025.76721987222	Maybe Montana 3&4.wav	231	Spectrogram 1	1	Large Training Set.wav-70	0.441322031443421
2784.71041275473	2785.06177523349	Maybe Montana 3&4.wav	10	Spectrogram 1	1	Large Training Set.wav-27	0.367130346979609
3137.75825827578	3138.2610508819	Maybe Montana 3&4.wav	236	Spectrogram 1	1	Large Training Set.wav-70	0.439156385116448
3423.88173878322	3424.25653102526	Maybe Montana 3&4.wav	241	Spectrogram 1	1	Large Training Set.wav-70	0.406414786201811
3631.07482461905	3631.48660512723	Maybe Montana 3&4.wav	539	Spectrogram 1	1	Large Training Set.wav-46	0.367925792679156
3660.14907748139	3661.22511314428	Maybe Montana 3&4.wav	245	Spectrogram 1	1	Large Training Set.wav-70	0.361459978882573
3661.23708057607	3661.97454051634	Maybe Montana 3&4.wav	254	Spectrogram 1	1	Large Training Set.wav-70	0.350255235120831
3662.13308312463	3662.57187554871	Maybe Montana 3&4.wav	260	Spectrogram 1	1	Large Training Set.wav-70	0.358982768360468
3662.94375209714	3663.29721094517	Maybe Montana 3&4.wav	263	Spectrogram 1	1	Large Training Set.wav-70	0.374079081604293
3663.49842034149	3664.619881374	Maybe Montana 3&4.wav	265	Spectrogram 1	1	Large Training Set.wav-70	0.35275258077884
3664.67175701222	3665.04809468984	Maybe Montana 3&4.wav	274	Spectrogram 1	1	Large Training Set.wav-70	0.397897415010857
3665.48242598473	3666.28543087256	Maybe Montana 3&4.wav	276	Spectrogram 1	1	Large Training Set.wav-70	0.399888436452353
3666.589776919	3666.87846801515	Maybe Montana 3&4.wav	17	Spectrogram 1	1	Large Training Set.wav-27	0.360538552146885
3667.3384312639	3668.09722459818	Maybe Montana 3&4.wav	285	Spectrogram 1	1	Large Training Set.wav-70	0.3712583937318
3675.99978923333	3676.60924880952	Maybe Montana 3&4.wav	292	Spectrogram 1	1	Large Training Set.wav-70	0.390650876685061
3685.25848223513	3685.61194108316	Maybe Montana 3&4.wav	297	Spectrogram 1	1	Large Training Set.wav-70	0.354117607902334
3690.69849770855	3691.0946233446	Maybe Montana 3&4.wav	299	Spectrogram 1	1	Large Training Set.wav-70	0.356690505570393
3691.12516558881	3691.58529140691	Maybe Montana 3&4.wav	301	Spectrogram 1	1	Large Training Set.wav-70	0.360807471659411
3701.17118988795	3701.61351222764	Maybe Montana 3&4.wav	20	Spectrogram 1	1	Large Training Set.wav-27	0.379556817063462
3702.74986019005	3703.31865811427	Maybe Montana 3&4.wav	23	Spectrogram 1	1	Large Training Set.wav-27	0.362962256921053
3703.92520199684	3704.25885165278	Maybe Montana 3&4.wav	308	Spectrogram 1	1	Large Training Set.wav-70	0.364691320439907
3747.01865790387	3747.37211675189	Maybe Montana 3&4.wav	309	Spectrogram 1	1	Large Training Set.wav-70	0.359754057144434
3782.90142663437	3783.68303455431	Maybe Montana 3&4.wav	311	Spectrogram 1	1	Large Training Set.wav-70	0.379708330764123
3784.03574933686	3784.4469159145	Maybe Montana 3&4.wav	109	Spectrogram 1	1	Large Training Set.wav-24	0.351462827418833
3784.91041933574	3785.28303823887	Maybe Montana 3&4.wav	112	Spectrogram 1	1	Large Training Set.wav-24	0.351877745554647
3890.27615407987	3890.68732065752	Maybe Montana 3&4.wav	115	Spectrogram 1	1	Large Training Set.wav-24	0.363797987508249
3944.43788610367	3944.94067870979	Maybe Montana 3&4.wav	318	Spectrogram 1	1	Large Training Set.wav-70	0.352832197369375
3952.16057473652	3952.7700343127	Maybe Montana 3&4.wav	324	Spectrogram 1	1	Large Training Set.wav-70	0.357679532695254
3954.63524844207	3955.18070783622	Maybe Montana 3&4.wav	329	Spectrogram 1	1	Large Training Set.wav-70	0.36956507377178
4018.33676296602	4018.69022181404	Maybe Montana 3&4.wav	335	Spectrogram 1	1	Large Training Set.wav-70	0.381572265294824
4019.14743193853	4019.88489187879	Maybe Montana 3&4.wav	337	Spectrogram 1	1	Large Training Set.wav-70	0.40621341946619
4021.15277097578	4021.52756321782	Maybe Montana 3&4.wav	345	Spectrogram 1	1	Large Training Set.wav-70	0.359327505062033
4021.92077316027	4022.42356576639	Maybe Montana 3&4.wav	347	Spectrogram 1	1	Large Training Set.wav-70	0.379192632975495
4023.45677752923	4023.89556995331	Maybe Montana 3&4.wav	352	Spectrogram 1	1	Large Training Set.wav-70	0.368821987257329
4025.22744923234	4025.77290862649	Maybe Montana 3&4.wav	356	Spectrogram 1	1	Large Training Set.wav-70	0.370998598645536
4027.21145487558	4027.88491463381	Maybe Montana 3&4.wav	362	Spectrogram 1	1	Large Training Set.wav-70	0.350307175693316
4028.17145760619	4028.90891754645	Maybe Montana 3&4.wav	369	Spectrogram 1	1	Large Training Set.wav-70	0.361589335693532
4030.13412985542	4030.80758961364	Maybe Montana 3&4.wav	376	Spectrogram 1	1	Large Training Set.wav-70	0.36799685479105
4031.26479973813	4031.87425931431	Maybe Montana 3&4.wav	383	Spectrogram 1	1	Large Training Set.wav-70	0.378607636708176
4032.09680210465	4032.74892846886	Maybe Montana 3&4.wav	388	Spectrogram 1	1	Large Training Set.wav-70	0.35927496686622
4032.92880447117	4033.30359671321	Maybe Montana 3&4.wav	395	Spectrogram 1	1	Large Training Set.wav-70	0.368049081466763
4033.39813913946	4034.05026550368	Maybe Montana 3&4.wav	397	Spectrogram 1	1	Large Training Set.wav-70	0.383450721702303
4034.18747471796	4034.62626714204	Maybe Montana 3&4.wav	404	Spectrogram 1	1	Large Training Set.wav-70	0.404178026032641
4035.83014605699	4036.43960563318	Maybe Montana 3&4.wav	408	Spectrogram 1	1	Large Training Set.wav-70	0.405095553355681
4036.55548145344	4037.16494102963	Maybe Montana 3&4.wav	414	Spectrogram 1	1	Large Training Set.wav-70	0.380394682144874
4037.32348363793	4037.74094266799	Maybe Montana 3&4.wav	420	Spectrogram 1	1	Large Training Set.wav-70	0.377947687331812
4037.83548509425	4038.25294412431	Maybe Montana 3&4.wav	423	Spectrogram 1	1	Large Training Set.wav-70	0.358091658126456
4040.22482522374	4040.57828407177	Maybe Montana 3&4.wav	427	Spectrogram 1	1	Large Training Set.wav-70	0.36006261378682
4044.21416990425	4044.65296232833	Maybe Montana 3&4.wav	429	Spectrogram 1	1	Large Training Set.wav-70	0.380657437678106
4049.95285289385	4050.58364586405	Maybe Montana 3&4.wav	432	Spectrogram 1	1	Large Training Set.wav-70	0.368953773424888
4051.55285744485	4052.16231702104	Maybe Montana 3&4.wav	438	Spectrogram 1	1	Large Training Set.wav-70	0.391283277066556
4054.987533881	4055.36232612304	Maybe Montana 3&4.wav	445	Spectrogram 1	1	Large Training Set.wav-70	0.410977481786256
4219.57466869422	4220.35479542251	Maybe Montana 3&4.wav	447	Spectrogram 1	1	Large Training Set.wav-70	0.351985870662325
4221.3026736093	4221.67746585134	Maybe Montana 3&4.wav	452	Spectrogram 1	1	Large Training Set.wav-70	0.374706345504935
4222.62942024282	4223.31792121035	Maybe Montana 3&4.wav	120	Spectrogram 1	1	Large Training Set.wav-24	0.366396938052348
4267.49359116141	4267.86230291924	Maybe Montana 3&4.wav	124	Spectrogram 1	1	Large Training Set.wav-24	0.351603374244641
4277.83616774476	4278.52879821335	Maybe Montana 3&4.wav	462	Spectrogram 1	1	Large Training Set.wav-70	0.352383155794901
4516.68920718615	4517.07904034918	Maybe Montana 3&4.wav	129	Spectrogram 1	1	Large Training Set.wav-24	0.352909334953228
4630.0123055787	4630.57462890578	Maybe Montana 3&4.wav	131	Spectrogram 1	1	Large Training Set.wav-24	0.353814937322447
4632.0558419429	4632.57996794303	Maybe Montana 3&4.wav	474	Spectrogram 1	1	Large Training Set.wav-70	0.358303521974782
4633.14384503758	4633.58263746166	Maybe Montana 3&4.wav	476	Spectrogram 1	1	Large Training Set.wav-70	0.379275407426463
4635.7936609372	4636.39682824631	Maybe Montana 3&4.wav	135	Spectrogram 1	1	Large Training Set.wav-24	0.357593580388978
4638.7545276631	4639.12931990514	Maybe Montana 3&4.wav	480	Spectrogram 1	1	Large Training Set.wav-70	0.409652565303975
4641.97587015912	4642.45732937123	Maybe Montana 3&4.wav	482	Spectrogram 1	1	Large Training Set.wav-70	0.373544612027221
4753.03751939277	4753.4746076097	Maybe Montana 3&4.wav	487	Spectrogram 1	1	Large Training Set.wav-70	0.428646154348429
4788.39112463643	4788.73874195512	Maybe Montana 3&4.wav	550	Spectrogram 1	1	Large Training Set.wav-46	0.35255619831555
4792.5298066804	4792.81342414506	Maybe Montana 3&4.wav	552	Spectrogram 1	1	Large Training Set.wav-46	0.353907555161866
4797.11231142441	4797.44277511479	Maybe Montana 3&4.wav	488	Spectrogram 1	1	Large Training Set.wav-70	0.353332963198787
4810.5356599834	4810.92549314643	Maybe Montana 3&4.wav	146	Spectrogram 1	1	Large Training Set.wav-24	0.351578371487498
4975.97629026093	4976.32345659475	Maybe Montana 3&4.wav	149	Spectrogram 1	1	Large Training Set.wav-24	0.376764233673656
5238.20156604503	5238.51235810503	Maybe Montana 3&4.wav	489	Spectrogram 1	1	Large Training Set.wav-70	0.3501679262071
5587.91989410635	5588.52845557274	Maybe Montana 3&4.wav	491	Spectrogram 1	1	Large Training Set.wav-70	0.362544651043813
5599.67459420772	5600.02805305575	Maybe Montana 3&4.wav	498	Spectrogram 1	1	Large Training Set.wav-70	0.365374536447917
6001.53173723774	6002.03403090084	Maybe Montana 3&4.wav	502	Spectrogram 1	1	Large Training Set.wav-70	0.41656802793594
6471.05840607819	6471.39049014473	Maybe Montana 3&4.wav	505	Spectrogram 1	1	Large Training Set.wav-70	0.370481952816115
6473.34107923762	6473.82253844973	Maybe Montana 3&4.wav	506	Spectrogram 1	1	Large Training Set.wav-70	0.351021152568519
6474.73339025375	6475.03850369895	Maybe Montana 3&4.wav	561	Spectrogram 1	1	Large Training Set.wav-46	0.369353427809646
6479.86909780572	6481.20391319178	Maybe Montana 3&4.wav	510	Spectrogram 1	1	Large Training Set.wav-70	0.355142151336082
6481.43208180946	6482.24922908502	Maybe Montana 3&4.wav	565	Spectrogram 1	1	Large Training Set.wav-46	0.394826598267389
6482.42559468403	6482.95323108746	Maybe Montana 3&4.wav	59	Spectrogram 1	1	Large Training Set.wav-27	0.353705266618944
6483.43742259365	6483.89186662986	Maybe Montana 3&4.wav	571	Spectrogram 1	1	Large Training Set.wav-46	0.37049906531629
6492.73313439579	6493.06523491088	Maybe Montana 3&4.wav	526	Spectrogram 1	1	Large Training Set.wav-70	0.377987158377144
6494.06146206735	6494.51590940073	Maybe Montana 3&4.wav	574	Spectrogram 1	1	Large Training Set.wav-46	0.364965282652617
