Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File
1	Spectrogram 1	1	17.4082177	17.87668068	27.842	15730.858	0.4685	15703.016	-68.9	Isolated Calls.wav
2	Spectrogram 1	1	18.7634759	19.1420493	0	16120.65	0.3786	16120.65	-68.48	Isolated Calls.wav
3	Spectrogram 1	1	20.23272852	20.61130192	27.842	16259.861	0.3786	16232.019	-63.74	Isolated Calls.wav
4	Spectrogram 1	1	21.70123112	22.03313109	0	23861.162	0.3319	23861.162	-81.59	Isolated Calls.wav
5	Spectrogram 1	1	27.54265193	27.87628054	689.06	23999.999	0.3336	23310.94	-100.5	Isolated Calls.wav
6	Spectrogram 1	1	28.93209206	29.31066546	0	23703.663	0.3786	23703.663	-96.54	Isolated Calls.wav
7	Spectrogram 1	1	30.3412432	30.68351504	0	20199.301	0.3423	20199.301	-81.18	Isolated Calls.wav
8	Spectrogram 1	1	31.76910451	32.113105	0	22601.167	0.344	22601.167	-66.42	Isolated Calls.wav
9	Spectrogram 1	1	33.1212871	33.4808454	0	18191.183	0.3596	18191.183	-93.27	Isolated Calls.wav
10	Spectrogram 1	1	34.4969522	34.8945407	0	18742.431	0.3976	18742.431	-75.86	Isolated Calls.wav
11	Spectrogram 1	1	49.35003377	49.75799414	0	23782.413	0.408	23782.413	-92.92	Isolated Calls.wav
12	Spectrogram 1	1	52.17322054	52.4983622	354.374	14686.821	0.3251	14332.447	-98.38	Isolated Calls.wav
13	Spectrogram 1	1	53.52666833	53.90869902	0	23782.413	0.382	23782.413	-84.9	Isolated Calls.wav
14	Spectrogram 1	1	54.90439892	55.19308274	0	12521.204	0.2887	12521.204	-94.56	Isolated Calls.wav
15	Spectrogram 1	1	55.26568586	55.39187699	0	11497.458	0.1262	11497.458	-94.99	Isolated Calls.wav
16	Spectrogram 1	1	55.88830322	56.1752584	0	12127.456	0.287	12127.456	-95.11	Isolated Calls.wav
17	Spectrogram 1	1	56.23403235	56.34985161	0	10985.585	0.1158	10985.585	-94.94	Isolated Calls.wav
18	Spectrogram 1	1	58.74919582	59.08628173	0	18269.933	0.3371	18269.933	-96.37	Isolated Calls.wav
19	Spectrogram 1	1	60.10082032	60.46037862	0	23999.999	0.3596	23999.999	-95.15	Isolated Calls.wav
20	Spectrogram 1	1	61.4514923	61.85599538	0	23113.04	0.4045	23113.04	-92.91	Isolated Calls.wav
21	Spectrogram 1	1	64.19704697	64.52203235	98.437	15887.754	0.325	15789.317	-92.01	Isolated Calls.wav
22	Spectrogram 1	1	65.57228554	65.79182354	0	6849.188	0.2195	6849.188	-84.89	Isolated Calls.wav
