Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File
1	Spectrogram 1	1	0.600864642	0.916261026	222.738	14422.274	0.3154	14199.536	-78.53	Large Training Set.wav
2	Spectrogram 1	1	2.299861217	2.536984046	1948.956	10774.942	0.2371	8825.986	-89.75	Large Training Set.wav
3	Spectrogram 1	1	3.402277297	3.678536902	1280.742	11944.316	0.2763	10663.574	-87.94	Large Training Set.wav
4	Spectrogram 1	1	4.605461755	4.932368955	389.791	15925.754	0.3269	15535.963	-74.41	Large Training Set.wav
5	Spectrogram 1	1	6.172003742	6.547256373	1754.060	10051.044	0.3753	8296.984	-88.57	Large Training Set.wav
6	Spectrogram 1	1	7.478785552	7.761951648	0.000	23664.288	0.2832	23664.288	-65.70	Large Training Set.wav
7	Spectrogram 1	1	8.665395002	9.003813019	0.000	16657.396	0.3384	16657.396	-76.01	Large Training Set.wav
8	Spectrogram 1	1	10.257490720	10.654613900	2442.478	6902.655	0.3971	4460.177	-88.68	Large Training Set.wav
9	Spectrogram 1	1	11.532272170	11.808531780	697.851	12621.997	0.2763	11924.146	-72.55	Large Training Set.wav
10	Spectrogram 1	1	12.764003740	13.058680650	0.000	23939.317	0.2947	23939.317	-66.58	Large Training Set.wav
11	Spectrogram 1	1	14.277595970	14.609107500	2154.235	9375.474	0.3315	7221.239	-90.42	Large Training Set.wav
12	Spectrogram 1	1	15.552684360	15.868080740	1699.115	13471.555	0.3154	11772.440	-75.53	Large Training Set.wav
13	Spectrogram 1	1	17.434622730	17.736206130	121.365	12409.608	0.3016	12288.243	-73.80	Large Training Set.wav
14	Spectrogram 1	1	18.322872090	18.652081450	151.707	23726.928	0.3292	23575.221	-65.99	Large Training Set.wav
15	Spectrogram 1	1	19.862632260	20.198748120	2305.942	6826.802	0.3361	4520.860	-87.47	Large Training Set.wav
16	Spectrogram 1	1	21.107255660	21.418047720	1759.798	13957.016	0.3108	12197.218	-75.64	Large Training Set.wav
17	Spectrogram 1	1	22.336915000	22.676484100	0.000	21724.399	0.3396	21724.399	-65.24	Large Training Set.wav
18	Spectrogram 1	1	23.905452220	24.216244280	1790.139	9011.378	0.3108	7221.239	-88.16	Large Training Set.wav
19	Spectrogram 1	1	25.134881620	25.424954210	0.000	12288.243	0.2901	12288.243	-73.60	Large Training Set.wav
20	Spectrogram 1	1	26.336685070	26.684311740	0.000	18720.607	0.3476	18720.607	-64.13	Large Training Set.wav
21	Spectrogram 1	1	27.595735670	27.927247190	0.000	10385.151	0.3315	10385.151	-79.93	Large Training Set.wav
22	Spectrogram 1	1	28.849797650	29.179007010	15.171	17840.708	0.3292	17825.537	-65.22	Large Training Set.wav
23	Spectrogram 1	1	30.382651340	30.750997480	1820.480	10997.680	0.3683	9177.200	-87.85	Large Training Set.wav
24	Spectrogram 1	1	31.644004100	31.927170190	0.000	14139.064	0.2832	14139.064	-73.77	Large Training Set.wav
25	Spectrogram 1	1	32.816646210	33.161970720	0.000	18022.756	0.3453	18022.756	-63.72	Large Training Set.wav
26	Spectrogram 1	1	34.361931870	34.656608780	2032.870	10886.311	0.2947	8853.441	-83.17	Large Training Set.wav
27	Spectrogram 1	1	35.571177240	35.842832520	1820.480	16232.019	0.2717	14411.539	-70.56	Large Training Set.wav
28	Spectrogram 1	1	36.762315440	37.132963750	0.000	17749.684	0.3706	17749.684	-65.65	Large Training Set.wav
29	Spectrogram 1	1	38.352723210	38.656608780	1972.187	8890.013	0.3039	6917.826	-87.80	Large Training Set.wav
30	Spectrogram 1	1	39.564730620	39.829479410	0.000	14199.747	0.2647	14199.747	-71.95	Large Training Set.wav
31	Spectrogram 1	1	40.723638530	41.078171690	0.000	22634.640	0.3545	22634.640	-66.43	Large Training Set.wav
32	Spectrogram 1	1	42.297163430	42.630977120	2002.528	8465.234	0.3338	6462.706	-85.09	Large Training Set.wav
33	Spectrogram 1	1	43.553297650	43.847974560	1304.678	13380.531	0.2947	12075.853	-77.76	Large Training Set.wav
34	Spectrogram 1	1	44.764220580	45.068106150	1820.480	11470.998	0.3039	9650.518	-89.08	Large Training Set.wav
35	Spectrogram 1	1	46.276741920	46.645088060	2032.870	8586.599	0.3683	6553.729	-87.64	Large Training Set.wav
36	Spectrogram 1	1	47.542931780	47.839910860	2518.331	15049.305	0.2970	12530.974	-63.31	Large Training Set.wav
37	Spectrogram 1	1	48.733224650	49.099268630	151.707	23726.928	0.3660	23575.221	-66.90	Large Training Set.wav
38	Spectrogram 1	1	51.212341650	51.479392600	0.000	11499.368	0.2671	11499.368	-81.10	Large Training Set.wav
39	Spectrogram 1	1	51.555363990	51.665867830	0.000	6037.927	0.1105	6037.927	-83.36	Large Training Set.wav
40	Spectrogram 1	1	52.391123460	52.678893880	0.000	16900.126	0.2878	16900.126	-65.86	Large Training Set.wav
41	Spectrogram 1	1	53.247526820	53.519182100	0.000	12015.171	0.2717	12015.171	-81.39	Large Training Set.wav
