Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File
1	Spectrogram 1	1	0.610026026	1.035893252	886.836	13856.813	0.4259	12969.977	-74.22	PikaConvoWav.wav
2	Spectrogram 1	1	3.073149982	3.552992376	1773.672	13413.395	0.4798	11639.723	-88.28	PikaConvoWav.wav
3	Spectrogram 1	1	4.773044428	5.201789136	332.564	13468.822	0.4287	13136.259	-76.78	PikaConvoWav.wav
4	Spectrogram 1	1	6.202377762	6.662774763	1607.39	13524.249	0.4604	11916.859	-83.14	PikaConvoWav.wav
5	Spectrogram 1	1	9.709033474	10.12339078	1219.4	15630.485	0.4144	14411.085	-81.61	PikaConvoWav.wav
6	Spectrogram 1	1	10.07591233	10.39531275	1393.939	15151.515	0.3194	13757.576	-83.26	PikaConvoWav.wav
7	Spectrogram 1	1	18.05061801	18.49950509	2848.485	12363.636	0.4489	9515.152	-88.29	PikaConvoWav.wav
8	Spectrogram 1	1	19.55122449	19.98572415	1121.212	13545.455	0.4345	12424.242	-83.51	PikaConvoWav.wav
9	Spectrogram 1	1	28.20443039	28.67058235	2212.121	13181.818	0.4662	10969.697	-84.83	PikaConvoWav.wav
11	Spectrogram 1	1	32.50223398	32.95112106	484.848	13060.606	0.4489	12575.758	-80.98	PikaConvoWav.wav
